AFZ,36.168,57.595,"Sabzevar National"
AGA,30.322,-9.412,"Al Massira"
AGB,48.425,10.932,"Augsburg"
AGC,40.354,-79.930,"Allegheny County"
AGD,-1.386,133.874,"Anggi"
AGE,53.783,7.920,"Wangerooge"
AGF,44.175,0.591,"Agen-La Garenne"
AGG,-4.056,144.074,"Angoram"
AGH,56.296,12.847,"Angelholm-Helsingborg"
AGI,5.841,-56.673,"Wageningen"
AGJ,26.593,127.240,"Aguni"
AGK,-6.396,143.854,"Kagua"
AGL,-9.337,149.156,"Wanigela"
AGO,33.228,-93.217,"Magnolia Muni/Ralph Weiser"
AGP,36.675,-4.499,"Malaga-Costa del Sol"
AGR,27.158,77.961,"Agra/Agra Air Force Station"
AGS,33.370,-81.965,"Augusta Regional At Bush"
AGT,-25.457,-54.840,"Guarani"
AGU,21.700,-102.318,"Governor Jesus Teran Peredo"
AGV,9.553,-69.238,"Oswaldo Guevara Mujica"
AGW,-12.146,142.149,"Agnew"
AGX,10.824,72.176,"Agatti"
AGY,-16.509,128.922,"Argyle Downs"
AGZ,-29.282,18.814,"Aggeneys"
AHB,18.240,42.657,"Abha"
AHC,40.266,-120.153,"Amedee Army Air"
AHD,34.147,-97.123,"Ardmore Downtown Executive"
AHE,-14.428,-146.257,"Ahe"
AHF,40.342,-99.908,"Arapahoe Muni"
AHH,45.281,-92.375,"Amery Muni"
AHI,-3.348,128.927,"Amahai"
AHJ,32.532,102.352,"Hongyuan"
AHL,2.473,-59.322,"Aishalton"
AHM,42.190,-122.661,"Ashland Muni/Sumner Parker"
AHN,33.949,-83.326,"Athens Ben Epps"
AHO,40.632,8.291,"Alghero-Fertilia"
AHS,15.472,-84.352,"Ahuas"
AHU,35.177,-3.840,"Cherif Al Idrissi"
AHY,-20.016,45.535,"Ambatolhy"
AHZ,45.087,6.084,"Altiport L'Alpe d'Huez"
AIA,42.053,-102.804,"Alliance Muni"
AIC,7.279,168.826,"Ailinglaplap"
AID,40.109,-85.613,"Anderson Muni Darlington"
AIE,-5.146,144.731,"Aiome"
AIF,-22.640,-50.453,"Marcelo Pires Halzhausen"
AIG,6.520,23.260,"Yalinga"
AIH,-7.343,141.268,"Aiambak"
AII,11.147,42.720,"Ali-Sabieh"
AIK,33.649,-81.685,"Aiken Regional"
AIL,9.223,-78.024,"Ailigandi"
AIM,10.217,169.983,"Ailuk"
AIN,70.638,-159.995,"Wainwright"
AIO,41.407,-95.047,"Atlantic Muni"
AIP,31.434,75.759,"Adampur"
AIR,-10.188,-59.457,"Aripuana"
AIS,-2.616,176.803,"Arorae Island"
AIT,-18.831,-159.764,"Aitutaki"
AIU,-19.968,-158.119,"Enua"
AIV,33.106,-88.198,"George Downer"
AIW,-27.995,17.597,"Ai-Ais"
AIZ,38.096,-92.549,"Lee C Fine Memorial"
AJA,41.924,8.803,"Ajaccio-Bonaparte"
AJF,29.785,40.100,"Al-Jawf Domestic"
AJI,39.656,43.026,"Agri"
AJJ,19.728,-14.377,"Akjoujt"
AJK,34.138,49.847,"Arak"
AJL,23.841,92.620,"Lengpui"
AJN,-12.131,44.430,"Ouani"
AJR,65.590,19.282,"Arvidsjaur"
AJS,26.727,-113.559,"Punta Abreojos"
AJU,-10.984,-37.070,"Aracaju/Santa Maria"
AJY,16.966,8.000,"Mano Dayak"
AKA,32.757,108.873,"Ankang Fuqiang"
AKB,52.220,-174.206,"Atka"
AKC,41.037,-81.467,"Akron Executive"
AKD,20.699,77.057,"Akola"
AKE,-1.140,13.904,"Akieni"
AKF,24.179,23.314,"Kufra"
AKG,-3.561,142.217,"Anguganak"
AKH,24.063,47.581,"Prince Sultan"
AKI,60.903,-161.231,"Akiak"
AKJ,43.671,142.447,"Asahikawa"
AKK,56.939,-154.183,"Akhiok"
AKL,-37.012,174.786,"Auckland"
AKM,10.890,19.817,"Zakuoma"
AKN,58.678,-156.652,"King Salmon"
AKO,40.176,-103.222,"Colorado Plains Regional"
AKP,68.134,-151.743,"Anaktuvuk Pass"
AKQ,-4.611,105.232,"Gunung Batin"
AKR,7.247,5.301,"Akure"
AKS,-8.703,160.682,"Gwaunaru'u"
AKT,34.590,32.988,"RAF Akrotiri"
AKU,41.263,80.292,"Aksu Hongqipo"
AKV,60.819,-78.149,"Akulivik"
AKW,30.744,49.677,"Aghajari"
AKX,50.246,57.207,"Aktobe"
AKY,20.133,92.871,"Sittwe"
ALA,43.354,77.043,"Almaty"
ALB,42.748,-73.802,"Albany"
ALC,38.282,-0.558,"Alicante-Elche Hernandez"
ALD,-11.683,-69.333,"Alerta"
ALE,30.384,-103.684,"Alpine Casparis Muni"
ALF,69.976,23.372,"Alta"
ALG,36.694,3.215,"Houari Boumediene"
ALH,-34.943,117.809,"Albany"
ALI,27.741,-98.027,"Alice"
ALJ,-28.575,16.533,"Alexander Bay"
ALL,44.051,8.127,"Villanova D'Albenga"
ALM,32.841,-105.988,"Alamogordo White Sands"
ALN,38.890,-90.046,"St Louis Regional"
ALO,42.557,-92.400,"Waterloo Regional"
ALP,36.181,37.224,"Aleppo"
ALQ,-29.813,-55.893,"Alegrete Novo"
ALR,-45.210,169.371,"Alexandra Aerodrome"
ALS,37.435,-105.867,"San Luis Valley/Bergman"
ALT,-1.917,-54.723,"Alenquer Muni"
ALU,11.958,50.748,"Caluula"
ALW,46.095,-118.288,"Walla Walla Regional"
ALX,32.915,-85.963,"Thomas C Russell"
AMA,35.219,-101.706,"Rick Husband Amarillo"
AMB,-13.188,48.988,"Ambilobe"
AMC,11.034,20.274,"Am Timan"
AMD,23.077,72.635,"Sardar Vallabh Bhai Patel"
AME,-15.610,37.681,"Alto Molocue"
AMF,-4.101,141.670,"Ama"
AMH,6.039,37.590,"Arba Minch"
AMI,-8.561,116.095,"Selaparang"
AMJ,-16.184,-40.667,"Cirilo Queiroz"
AMK,37.203,-107.869,"Animas Air Park"
AML,8.268,-82.865,"Puerto Armuelles"
AMM,31.723,35.993,"Queen Alia"
AMN,43.322,-84.688,"Gratiot Community"
AMO,14.146,15.314,"Mao"
AMP,-24.700,44.734,"Ampanihy"
AMQ,-3.710,128.089,"Pattimura"
AMS,52.309,4.764,"Amsterdam Schiphol"
AMT,-26.097,131.203,"Amata"
AMU,-3.586,141.214,"Amanab"
AMV,69.763,61.556,"Amderma"
AMW,41.992,-93.622,"Ames Muni"
AMX,-21.738,135.242,"Ammaroo"
AMY,-17.687,45.624,"Ambatomainty"
AMZ,-37.030,174.973,"Ardmore"
ANA,-1.272,34.956,"Angama"
ANB,33.588,-85.858,"Anniston Regional"
ANC,61.174,-149.996,"Ted Stevens Anchorage"
AND,34.495,-82.709,"Anderson Regional"
ANE,47.560,-0.312,"Angers-Loire"
ANF,-23.445,-70.445,"Andres Sabella Galvez"
ANG,45.729,0.221,"Angouleme-Brie-Champniers"
ANI,61.582,-159.543,"Aniak"
ANJ,-2.850,13.817,"Zanaga"
ANK,39.950,32.689,"Etimesgut"
ANL,-11.472,16.711,"Andulo"
ANM,-14.999,50.320,"Antsirabe"
ANN,55.037,-131.573,"Annette Island"
ANO,-16.182,39.945,"Angoche"
ANP,38.943,-76.568,"Lee"
ANQ,41.640,-85.084,"Tri State Steuben County"
ANR,51.189,4.460,"Antwerp/Deurne"
ANS,-13.706,-73.350,"Andahuaylas"
ANU,17.137,-61.793,"V C Bird"
ANV,62.647,-160.191,"Anvik"
ANW,42.579,-99.993,"Ainsworth Regional"
ANX,69.293,16.144,"Andoya Andenes"
ANY,37.159,-98.080,"Anthony Muni"
ANZ,-25.032,132.275,"Angus Downs"
AOB,-4.904,144.636,"Annanberg"
AOC,50.982,12.506,"Altenburg-Nobitz"
AOD,11.477,19.287,"Abou-Deia"
AOE,39.810,30.519,"Anadolu"
AOG,41.105,122.854,"Anshan Teng'ao/Anshan"
AOH,40.707,-84.027,"Lima Allen County"
AOI,43.616,13.362,"Marche"
AOJ,40.735,140.691,"Aomori"
AOK,35.421,27.146,"Karpathos"
AOL,-29.689,-57.152,"Paso De Los Libres"
AOM,22.492,57.384,"Adam"
AOO,40.296,-78.320,"Altoona Blair County"
AOP,-2.796,-76.467,"Alfredo Vladimir Sara Bauer"
AOR,6.190,100.398,"Sultan Abdul Halim"
AOT,45.738,7.369,"Aosta"
AOU,14.793,107.045,"Attopeu"
APA,39.570,-104.849,"Centennial"
APB,-14.736,-68.412,"Apolo"
APC,38.213,-122.281,"Napa County"
APF,26.153,-81.775,"Naples Muni"
APG,39.466,-76.169,"Phillips Army Air"
APH,38.069,-77.319,"Mary Walker LZ"
API,4.076,-73.563,"Gomez Nino Apiay"
APK,-15.574,-146.415,"Apataki"
APL,-15.106,39.282,"Nampula"
APN,45.078,-83.560,"Alpena County Regional"
APO,7.812,-76.716,"Antonio Roldan Betancur"
APP,-8.979,148.104,"Asapa"
APQ,-9.777,-36.629,"Arapiraca"
APR,-4.677,142.540,"April River"
APS,-16.362,-48.927,"Anapolis"
APT,35.061,-85.585,"Marion County/Brown"
APU,-23.609,-51.384,"Captain Joao Busse"
