AEY,3c6785b298b7720d,"Akureyri"
AFA,51b96bf575e0c10f,"Santiago Germano"
AFC,2a2f65d4a3b75190,"Angeles City Club"
AFD,1c14c569931a563b,"Port Alfred"
AFF,5f51b6e374ac1be5,"USAF Academy"
AFI,59a5e956f8d7c8ea,"Amalfi"
AFL,56e1327f95378d54,"Piloto Osvaldo Marques Dias"
AFN,5faa982e9e1d578c,"Jaffrey Silver Ranch"
AFO,5f5a05560f061ed8,"Afton Muni"
AFR,4d6d3a6fdb592c51,"Afore"
AFS,2fb7bc031ca41ba7,"Sugraly"
AFT,4b6a3546677a0041,"Afutara Aerodrome"
AFW,5e62c199e17dec09,"Perot Muni/Fort Worth Alliance"
AFY,1cf801c480279183,"Afyon"
AFZ,2ecae57cf91aa708,"Sabzevar National"
AGA,16d6a6e7e4a86ae0,"Al Massira"
AGB,3f9666d3d2cabeff,"Augsburg"
AGC,5f948c3100201e88,"Allegheny County"
AGD,270b2a96398b7d0f,"Anggi"
AGE,3e8ae6c5db32bdf2,"Wangerooge"
AGF,18f1d5b75f00ca3c,"Agen-La Garenne"
AGG,4e793f428e13265c,"Angoram"
AGH,3e9266730933546b,"Angelholm-Helsingborg"
AGI,59e224fc2c09d91b,"Wageningen"
AGJ,2d10d9e994b01958,"Aguni"
AGK,4e6ab1fe71c55fe4,"Kagua"
AGL,4d6b29d82793d828,"Wanigela"
AGO,5e727b7ac34c7f19,"Magnolia Muni/Ralph Weiser"
AGP,17e4b9a569a5f663,"Malaga-Costa del Sol"
AGR,2da212af4c0c6bfa,"Agra/Agra Air Force Station"
AGS,5e93512ac28a0c1c,"Augusta Regional At Bush"
AGT,53d2e93ec0b3e44e,"Guarani"
AGU,5c52c81b54f18e10,"Governor Jesus Teran Peredo"
AGV,59bdfd48aa68e589,"Oswaldo Guevara Mujica"
AGW,4e5ca92e8f15c092,"Agnew"
AGX,2ab16c66f495b848,"Agatti"
AGY,241c2ee069e4ef28,"Argyle Downs"
AGZ,1b2370e091f16814,"Aggeneys"
AHB,1fb489520bf94e3d,"Abha"
AHC,5f34a86aca43b3db,"Amedee Army Air"
AHD,5e65d264255dbc92,"Ardmore Downtown Executive"
AHE,415e3924e81d5a68,"Ahe"
AHF,5f648b39196871bb,"Arapahoe Muni"
AHH,370a0b44e3c4d67e,"Amery Muni"
AHI,2705e77f3baa3270,"Amahai"
AHJ,2e50fe41ad2f90de,"Hongyuan"
AHL,58d7cc42620f38e7,"Aishalton"
AHM,3307e6b6e7be5b90,"Ashland Muni/Sumner Parker"
AHN,5e94197fcbfbddbc,"Athens Ben Epps"
AHO,19f35d6dcb4cb19c,"Alghero-Fertilia"
AHS,5a9f1f2dd5858336,"Ahuas"
AHU,17e671d11a68a14d,"Cherif Al Idrissi"
AHY,24f27638b2c71efd,"Ambatolhy"
AHZ,3f8fd89375558cbd,"Altiport L'Alpe d'Huez"
AIA,5f682c1cfe6834e9,"Alliance Muni"
AIC,4a926ccc8fc44b28,"Ailinglaplap"
AID,5f84a299e7a82d7d,"Anderson Muni Darlington"
AIE,4e68f1dbf91596e0,"Aiome"
AIF,53eaab77b616659c,"Marcelo Pires Halzhausen"
AIG,1c974067b730d963,"Yalinga"
AIH,4f6095074e307be3,"Aiambak"
AII,1fa828c5503a2011,"Ali-Sabieh"
AIK,5e935dd66334338b,"Aiken Regional"
AIL,59ac5d125f2369aa,"Ailigandi"
AIM,499effee6679e5b5,"Ailuk"
AIN,3467b4548d83f9d0,"Wainwright"
AIO,5f7744065252a226,"Atlantic Muni"
AIP,2dad6f11079156d0,"Adampur"
AIR,56d0a380f742afdd,"Aripuana"
AIS,487a71c5bb0d9de0,"Arorae Island"
AIT,44445be2b9fe6290,"Aitutaki"
AIU,4440288bc37da4d8,"Enua"
AIV,5e8246c77b138054,"George Downer"
AIW,1b20b6749b968dd2,"Ai-Ais"
AIZ,5e7f93a857ecf8ed,"Lee C Fine Memorial"
AJA,19f48a7cf623ef5c,"Ajaccio-Bonaparte"
AJF,1ed5957c7d54ac35,"Al-Jawf Domestic"
AJI,3ed6f258ae3f4c87,"Agri"
AJJ,15b5cab8d9bddbe8,"Akjoujt"
AJK,2ee501de1528e132,"Arak"
AJL,2c788c61ce5e02f7,"Lengpui"
AJN,1f5bae3d35e77150,"Ouani"
AJR,3c9780d1794592ed,"Arvidsjaur"
AJS,5d30ff49ad69291d,"Punta Abreojos"
AJU,1154ddbbb367aaa2,"Aracaju/Santa Maria"
AJY,19b8417cf39a8f68,"Mano Dayak"
AKA,2e41e7aa9f283438,"Ankang Fuqiang"
AKB,317143c41af9573f,"Atka"
AKC,5f96465419777fe1,"Akron Executive"
AKD,2baf59fb58a70eb9,"Akola"
AKE,1a7bc76dc53c2826,"Akieni"
